loan_id,customer_id,age,gender,marital_status,education,employment_type,years_employed,annual_income,monthly_income,loan_amount,loan_term_months,interest_rate,credit_score,existing_loans,collateral_type,loan_purpose,debt_to_income,missed_payments_6m,months_with_bank,num_bank_products,default
LN001861,CUS01861,29,Male,Widowed,Secondary,Permanent Employee,11,4166436,351083,3879436,240,3.8885474680739183,556,4,,Medical,1.6338923744532778,3,46,5,1
LN000354,CUS00354,57,Male,Single,Secondary,Freelance,29,2073198,184288,2077559,300,14.96918169309519,776,0,,Medical,0.7838835432680513,4,196,2,0
LN001334,CUS01334,35,Female,Widowed,Secondary,Freelance,1,854835,72204,3895723,24,14.96124393794127,435,4,Fixed Deposit,Auto Loan,28.488833530397173,5,193,6,1
LN000906,CUS00906,64,Female,Divorced,Vocational,Freelance,14,2007115,164193,2771046,12,15.921656243877615,799,2,Life Insurance,Debt Consolidation,17.962902628302448,1,101,1,0
LN001290,CUS01290,34,Female,Divorced,Bachelor,Contract Employee,12,2401839,195722,2594080,36,8.609568171473844,329,2,,Personal Loan,4.62086679881001,0,95,3,1
LN001274,CUS01274,40,Male,Married,Bachelor,Contract Employee,29,3197269,262013,4819268,84,10.654642722641679,743,4,Life Insurance,Personal Loan,3.0804827615695936,5,228,3,1
LN000939,CUS00939,46,Male,Married,Doctoral,Freelance,22,3648134,297252,2400820,36,12.656232532979551,486,3,,Auto Loan,2.2273284901651453,0,168,1,0
LN001732,CUS01732,41,Female,Married,Master,Government Officer,22,2528304,211651,3484924,120,9.313970410411839,438,1,Fixed Deposit,Debt Consolidation,0.852813875765057,3,41,6,1
LN000066,CUS00066,60,Female,Married,Doctoral,Freelance,17,434292,37914,82885,84,16.50897279217257,331,3,Fixed Deposit,Personal Loan,0.5971465827039875,5,61,1,0
LN001324,CUS01324,56,Female,Widowed,Bachelor,Freelance,21,2036670,169888,2534945,84,13.247012656973757,553,3,Life Insurance,Personal Loan,2.4889739552032353,2,227,1,1
LN000057,CUS00057,56,Female,Divorced,Vocational,Contract Employee,10,3116509,253068,4569941,84,12.903226612949233,603,2,Real Estate,Education,3.4059344057753114,4,169,5,0
LN001293,CUS01293,33,Female,Widowed,Primary,Self-Employed,2,2099212,179099,2553410,180,16.71738654501632,420,3,Life Insurance,Debt Consolidation,0.726254471431554,6,179,5,1
LN001119,CUS01119,32,Male,Widowed,Secondary,Freelance,24,2058029,175053,4705639,300,17.539681753295543,790,3,Life Insurance,Auto Loan,0.691695172849569,3,110,2,1
LN000585,CUS00585,62,Female,Divorced,Primary,Permanent Employee,16,3184356,273894,1692050,120,10.173035737041973,707,5,Vehicle,Home Purchase,0.10333250777457914,2,114,3,0
LN000375,CUS00375,41,Female,Divorced,Master,Freelance,35,2439149,197681,1698268,12,5.020136289860714,770,2,Fixed Deposit,Medical,9.030984940021067,6,64,1,0
LN000276,CUS00276,50,Male,Widowed,Bachelor,Business Owner,18,1857639,155693,2921268,180,5.449981367289542,681,5,,Debt Consolidation,1.5232748119132988,1,201,5,0
LN000747,CUS00747,39,Male,Divorced,Secondary,Business Owner,5,645019,48519,3222429,48,13.561809296307546,639,5,Guarantor,Auto Loan,15.588944223823448,0,207,3,0
LN000129,CUS00129,55,Male,Divorced,Vocational,Business Owner,8,3821848,318100,2479305,12,17.29491390201608,598,3,Vehicle,Debt Consolidation,7.895807561528899,2,167,4,0
LN001647,CUS01647,38,Male,Divorced,Master,Business Owner,8,1472702,116669,1583068,84,6.671030464835605,729,4,Life Insurance,Auto Loan,1.2663427617464578,3,158,1,1
LN001853,CUS01853,52,Male,Single,Doctoral,Self-Employed,9,1296272,106816,2408107,84,15.718943657494414,384,4,Vehicle,Medical,2.6011661801156736,4,38,5,1
LN000675,CUS00675,39,Female,Divorced,Master,Freelance,33,2429290,202983,1687426,12,4.679578768627427,764,2,Fixed Deposit,Medical,8.399752161884212,6,65,1,0
LN001665,CUS01665,43,Male,Married,Master,Contract Employee,3,3355850,286263,2947503,48,9.511313701508818,333,3,Fixed Deposit,Personal Loan,3.058088214822255,0,184,1,1
LN001982,CUS01982,26,Female,Single,Vocational,Freelance,19,394235,22671,2167988,84,8.210211097670735,358,5,Vehicle,Auto Loan,12.315482485108243,0,62,3,1
LN001084,CUS01084,34,Female,Divorced,Vocational,Contract Employee,7,2458710,206890,3225261,84,15.16963872330809,454,4,Life Insurance,Debt Consolidation,2.2555100614363712,3,223,2,1
LN001923,CUS01923,41,Female,Married,Primary,Government Officer,30,1431214,110171,1702538,84,15.79814744505024,833,1,Vehicle,Debt Consolidation,2.9958636515825137,1,31,2,1
LN000100,CUS00100,27,Male,Single,Doctoral,Self-Employed,35,2912087,238891,968933,84,3.437449647415159,585,1,,Business Expansion,0.6908454683024995,2,48,3,0
LN001180,CUS01180,57,Female,Divorced,Secondary,Self-Employed,16,3833222,315893,1695271,60,6.90754686412703,430,1,Fixed Deposit,Debt Consolidation,1.793646868798383,4,133,1,1
LN000965,CUS00965,45,Female,Single,Primary,Permanent Employee,19,3983962,336069,4703267,48,13.930803616971703,643,5,Real Estate,Home Purchase,3.5282959706476515,6,0,6,0
LN000793,CUS00793,43,Male,Single,Doctoral,Contract Employee,34,3075184,261074,3659987,24,11.62149394561083,540,3,Fixed Deposit,Medical,7.127824197599425,3,204,5,0
LN000030,CUS00030,56,Female,Widowed,Vocational,Permanent Employee,2,410400,27551,154150,240,4.3825297636892495,709,4,Real Estate,Debt Consolidation,1.0584545988993548,3,8,3,0
LN000629,CUS00629,57,Female,Widowed,Secondary,Business Owner,2,2983942,240587,3417090,84,9.335622914040142,582,0,Fixed Deposit,Debt Consolidation,1.5731641541421066,4,175,6,0
LN000945,CUS00945,34,Male,Married,Secondary,Business Owner,11,3577868,281202,439997,48,12.812866791230233,537,5,,Auto Loan,0.41547658217159117,6,20,3,0
LN000573,CUS00573,43,Female,Widowed,Bachelor,Business Owner,14,1587438,138671,3426058,84,7.76604144955133,711,3,Fixed Deposit,Medical,3.891974988021277,2,173,2,0
LN000908,CUS00908,61,Male,Single,Secondary,Permanent Employee,2,1002352,87337,266778,240,7.720735680112347,650,3,Real Estate,Personal Loan,0.6435419925872339,5,137,1,0
LN001081,CUS01081,38,Female,Married,Secondary,Freelance,27,1671260,145668,2135500,300,16.78681784419478,501,3,Vehicle,Business Expansion,0.47217141428527704,2,117,6,1
LN000451,CUS00451,43,Male,Divorced,Bachelor,Permanent Employee,26,490741,41958,617721,24,5.415752695731671,347,5,Fixed Deposit,Auto Loan,8.43885314436977,1,107,2,0
LN001610,CUS01610,26,Male,Married,Doctoral,Contract Employee,6,4160873,346325,1605953,12,13.452639696422164,709,0,Guarantor,Education,3.973519013102997,0,181,5,1
LN001291,CUS01291,40,Male,Widowed,Secondary,Self-Employed,23,946031,57165,3466705,36,13.174595502730028,395,1,Fixed Deposit,Home Purchase,16.021834343343578,3,102,5,1
LN001079,CUS01079,51,Female,Widowed,Doctoral,Self-Employed,31,2878220,240925,4252164,48,8.162650683725335,850,0,,Business Expansion,3.5541728208062526,6,152,1,1
LN000255,CUS00255,24,Male,Divorced,Bachelor,Government Officer,14,2011922,164692,4556362,12,8.250317095901794,499,5,,Debt Consolidation,28.333888826136373,2,75,1,0
LN000125,CUS00125,60,Female,Divorced,Vocational,Self-Employed,17,2284675,196241,3235140,48,5.691240308890646,793,0,Real Estate,Education,5.486088450265633,4,86,1,0
LN001928,CUS01928,39,Female,Divorced,Doctoral,Permanent Employee,29,3964687,330273,2538828,36,13.423305113891885,440,3,,Personal Loan,2.6288554893107983,4,199,6,1
LN000252,CUS00252,33,Male,Divorced,Vocational,Self-Employed,30,4049583,334744,1643410,36,9.65896541151176,579,1,,Education,1.779236938810707,6,103,1,0
LN000586,CUS00586,42,Female,Widowed,Secondary,Freelance,10,4093407,335903,2069255,12,4.323685982582437,756,3,Life Insurance,Auto Loan,6.228526128635424,1,197,3,0
LN001569,CUS01569,47,Male,Married,Doctoral,Freelance,16,1691786,145306,1463632,36,17.099757641335096,318,5,,Business Expansion,2.1558363594599323,5,191,1,1
LN000825,CUS00825,31,Male,Married,Secondary,Business Owner,24,1614806,138453,720678,24,16.675634617729056,684,5,Real Estate,Personal Loan,3.1905382867792733,6,12,2,0
LN000508,CUS00508,31,Female,Single,Secondary,Freelance,17,3440547,287793,4224553,240,7.804394471392836,375,1,Vehicle,Education,0.42765571396468893,1,145,3,0
LN000890,CUS00890,44,Male,Divorced,Bachelor,Permanent Employee,26,555693,42801,720098,24,5.4559111054926355,344,5,Fixed Deposit,Auto Loan,8.240661574453204,1,107,2,0
