txn_id,account_id,timestamp,amount,txn_type,merchant,channel,country,hour,account_age_days,txn_count_24h,prev_txn_minutes,label
TXN10000001,ACC905975,2026-04-09 17:40:00,2063.98,purchase,Tops Market,mobile,TH,17,1066,1,913,NORMAL
TXN10000002,ACC271184,2026-04-21 13:23:00,600.7,purchase,Big C,mobile,TH,13,278,6,820,NORMAL
TXN10000003,ACC326374,2026-04-24 14:41:00,179.2,purchase,PTT Station,mobile,TH,14,841,4,133,NORMAL
TXN10000004,ACC550243,2026-04-19 09:26:00,611.21,purchase,Lazada,mobile,MY,9,2489,2,161,NORMAL
TXN10000005,ACC167343,2026-04-24 12:29:00,2553.29,transfer_out,-,mobile,SG,12,2527,4,404,NORMAL
TXN10000006,ACC420894,2026-04-26 14:57:00,196.49,purchase,Central,branch,TH,14,1750,6,422,NORMAL
TXN10000007,ACC484807,2026-04-23 11:21:00,38.37,purchase,Central,atm,TH,11,2004,6,56,NORMAL
TXN10000008,ACC428929,2026-04-25 15:36:00,1228.58,purchase,PTT Station,web,TH,15,2709,8,75,NORMAL
TXN10000009,ACC876137,2026-04-29 12:44:00,1005.01,purchase,7-Eleven,mobile,MY,12,674,2,456,NORMAL
TXN10000010,ACC753216,2026-04-13 12:25:00,948.24,purchase,Shopee,atm,MY,12,3297,4,384,NORMAL
TXN10000011,ACC509297,2026-04-22 08:44:00,284.92,transfer_out,-,mobile,TH,8,222,2,430,NORMAL
TXN10000012,ACC442879,2026-04-21 02:43:00,145207.52,purchase,Online Gambling,web,MY,2,351,12,52,FRAUD
TXN10000013,ACC231101,2026-04-24 10:47:00,2673.91,transfer_in,-,web,TH,10,2919,1,192,NORMAL
TXN10000014,ACC280477,2026-04-13 02:49:00,336.3,purchase,Central,mobile,TH,2,2969,5,830,NORMAL
TXN10000015,ACC408069,2026-04-20 17:44:00,267.15,purchase,PTT Station,web,TH,17,1642,4,604,NORMAL
TXN10000016,ACC682388,2026-04-25 10:44:00,1456.31,transfer_out,-,mobile,TH,10,3350,4,311,NORMAL
TXN10000017,ACC133827,2026-04-29 06:47:00,176.7,purchase,Central,mobile,TH,6,2016,6,153,NORMAL
TXN10000018,ACC475342,2026-04-25 15:37:00,1162.54,transfer_out,-,mobile,MY,15,2247,8,281,NORMAL
TXN10000019,ACC601554,2026-04-09 11:35:00,4342.76,transfer_out,-,mobile,MY,11,1186,5,804,NORMAL
TXN10000020,ACC545509,2026-04-04 23:10:00,120009.86,transfer_out,-,web,NG,23,1165,4,30,FRAUD
TXN10000021,ACC182440,2026-04-30 08:13:00,328.37,purchase,Big C,web,TH,8,1814,6,139,NORMAL
TXN10000022,ACC355947,2026-04-21 16:55:00,596.78,purchase,Tops Market,mobile,TH,16,2472,4,209,NORMAL
TXN10000023,ACC145188,2026-04-27 11:50:00,970.49,transfer_out,-,web,TH,11,559,7,106,NORMAL
TXN10000024,ACC410590,2026-04-23 14:13:00,1269.26,purchase,Central,atm,TH,14,1438,8,593,NORMAL
TXN10000025,ACC477721,2026-04-12 13:44:00,277.25,purchase,7-Eleven,atm,TH,13,3190,1,182,NORMAL
TXN10000026,ACC257469,2026-04-19 09:26:00,3022.11,transfer_out,-,mobile,TH,9,134,6,432,NORMAL
TXN10000027,ACC545346,2026-04-23 15:24:00,267.05,purchase,Central,mobile,TH,15,2212,2,34,NORMAL
TXN10000028,ACC946301,2026-04-30 14:13:00,254.67,transfer_out,-,web,TH,14,329,3,539,NORMAL
TXN10000029,ACC543798,2026-04-13 20:32:00,1186.02,purchase,7-Eleven,mobile,TH,20,2035,7,702,NORMAL
TXN10000030,ACC400754,2026-04-29 05:50:00,315516.26,transfer_out,-,mobile,CN,5,1521,5,527,FRAUD
TXN10000031,ACC931693,2026-04-05 14:01:00,534.21,purchase,Lazada,mobile,TH,14,761,2,122,NORMAL
TXN10000032,ACC236843,2026-04-15 16:14:00,681.24,purchase,Tops Market,branch,TH,16,1527,2,333,NORMAL
TXN10000033,ACC171845,2026-04-29 18:41:00,392.64,purchase,Big C,mobile,TH,18,928,3,158,NORMAL
TXN10000034,ACC909944,2026-04-30 23:24:00,2920.01,transfer_in,-,mobile,TH,23,2116,8,914,NORMAL
TXN10000035,ACC872960,2026-04-25 13:02:00,411.93,purchase,Central,mobile,JP,13,825,2,73,NORMAL
TXN10000036,ACC685144,2026-04-06 09:20:00,4136.81,transfer_in,-,mobile,TH,9,1618,1,24,NORMAL
TXN10000037,ACC526244,2026-04-29 21:35:00,267.07,purchase,7-Eleven,mobile,TH,21,2716,6,61,NORMAL
TXN10000038,ACC817783,2026-04-01 10:24:00,4867.54,transfer_in,-,mobile,TH,10,1106,5,438,NORMAL
TXN10000039,ACC980248,2026-04-04 13:11:00,1405.88,transfer_out,-,mobile,MY,13,2124,1,87,NORMAL
TXN10000040,ACC875924,2026-04-17 09:30:00,2998.29,purchase,Central,mobile,MY,9,785,6,240,NORMAL
TXN10000041,ACC591761,2026-04-02 23:02:00,7112.71,transfer_in,-,mobile,TH,23,1432,8,121,NORMAL
TXN10000042,ACC850287,2026-04-03 17:55:00,457.22,purchase,PTT Station,mobile,TH,17,796,6,163,NORMAL
TXN10000043,ACC577415,2026-04-07 10:47:00,834.72,transfer_in,-,mobile,TH,10,575,7,476,NORMAL
TXN10000044,ACC894100,2026-04-30 05:05:00,8092.62,transfer_out,-,atm,TH,5,1249,3,179,NORMAL
TXN10000045,ACC145540,2026-04-09 18:02:00,13614.21,transfer_out,-,mobile,TH,18,123,4,133,NORMAL
TXN10000046,ACC191008,2026-04-05 07:11:00,14835.99,transfer_in,-,web,TH,7,2240,8,185,NORMAL
TXN10000047,ACC540392,2026-04-28 16:45:00,1626.15,purchase,Shopee,web,TH,16,3186,4,915,NORMAL
TXN10000048,ACC738401,2026-04-07 08:08:00,1900.43,purchase,Tops Market,web,TH,8,2913,5,157,NORMAL
TXN10000049,ACC880194,2026-04-20 19:57:00,2271.51,transfer_out,-,mobile,TH,19,1523,6,127,NORMAL
TXN10000050,ACC580768,2026-04-25 09:13:00,1893.76,purchase,Big C,mobile,TH,9,510,7,215,NORMAL
TXN10000051,ACC926308,2026-04-17 14:34:00,674.13,transfer_in,-,web,TH,14,1458,6,989,NORMAL
TXN10000052,ACC764725,2026-04-15 14:51:00,575.22,purchase,Shopee,atm,TH,14,987,1,78,NORMAL
TXN10000053,ACC319731,2026-04-28 18:59:00,268.88,purchase,7-Eleven,atm,TH,18,1085,4,1896,NORMAL
TXN10000054,ACC368241,2026-04-30 11:53:00,362.61,purchase,Central,web,TH,11,1469,5,428,NORMAL
TXN10000055,ACC816411,2026-04-29 13:00:00,344.22,purchase,Makro,mobile,TH,13,463,4,37,NORMAL
TXN10000056,ACC433700,2026-04-07 16:25:00,186.25,purchase,Tops Market,mobile,TH,16,2482,7,151,NORMAL
TXN10000057,ACC301136,2026-04-05 16:18:00,1111.37,transfer_out,-,atm,TH,16,2856,5,101,NORMAL
TXN10000058,ACC737531,2026-04-15 22:06:00,3784.12,purchase,Grab,atm,TH,22,72,4,248,NORMAL
TXN10000059,ACC701423,2026-04-12 12:21:00,179869.03,transfer_out,-,mobile,GB,12,4,27,12,MULE
TXN10000060,ACC671308,2026-04-10 13:05:00,515.57,purchase,PTT Station,web,TH,13,836,3,241,NORMAL
TXN10000061,ACC106580,2026-04-24 15:29:00,591.27,purchase,7-Eleven,mobile,TH,15,2915,6,79,NORMAL
TXN10000062,ACC203742,2026-04-25 20:44:00,2203.14,transfer_out,-,web,TH,20,1886,1,1252,NORMAL
TXN10000063,ACC262695,2026-04-16 11:55:00,808.62,purchase,7-Eleven,atm,TH,11,2967,2,76,NORMAL
TXN10000064,ACC513644,2026-04-01 14:21:00,248.85,purchase,Lotus's,web,JP,14,1210,1,67,NORMAL
TXN10000065,ACC173338,2026-04-24 13:58:00,402.09,purchase,Grab,mobile,JP,13,2114,8,1927,NORMAL
TXN10000066,ACC181234,2026-04-18 18:43:00,980.97,transfer_in,-,mobile,TH,18,2029,1,110,NORMAL
TXN10000067,ACC328566,2026-04-17 11:20:00,2799.03,transfer_in,-,mobile,TH,11,1615,4,352,NORMAL
TXN10000068,ACC798288,2026-04-06 20:54:00,6672.24,transfer_out,-,atm,TH,20,2388,8,97,NORMAL
TXN10000069,ACC648015,2026-04-13 15:57:00,156.81,purchase,Makro,mobile,JP,15,2876,6,243,NORMAL
TXN10000070,ACC912010,2026-04-07 15:00:00,509.01,purchase,Shopee,web,JP,15,237,2,585,NORMAL
TXN10000071,ACC181234,2026-04-08 16:43:00,441.48,purchase,Lazada,mobile,TH,16,1356,7,398,NORMAL
TXN10000072,ACC891734,2026-04-18 19:14:00,516.87,purchase,Lotus's,mobile,TH,19,2450,4,307,NORMAL
TXN10000073,ACC632616,2026-04-23 15:09:00,433.14,purchase,7-Eleven,atm,TH,15,2473,7,1038,NORMAL
TXN10000074,ACC108289,2026-04-10 18:29:00,1390.42,transfer_out,-,web,TH,18,2828,5,80,NORMAL
TXN10000075,ACC891307,2026-04-18 14:58:00,569.29,purchase,Makro,web,TH,14,1516,3,546,NORMAL
TXN10000076,ACC253204,2026-04-07 23:56:00,288623.39,purchase,Foreign Online Shop,web,VN,23,3179,3,700,FRAUD
TXN10000077,ACC739647,2026-04-04 14:56:00,1967.35,purchase,Big C,atm,MY,14,2903,2,93,NORMAL
TXN10000078,ACC203894,2026-04-19 15:39:00,1571.54,transfer_out,-,web,TH,15,1692,4,116,NORMAL
TXN10000079,ACC630017,2026-04-24 04:57:00,332925.06,purchase,Crypto Exchange,web,TH,4,2700,13,182,FRAUD
TXN10000080,ACC948585,2026-04-27 06:55:00,564.37,purchase,Lotus's,mobile,TH,6,3072,8,421,NORMAL
TXN10000081,ACC637533,2026-04-20 06:51:00,204.28,purchase,PTT Station,mobile,TH,6,274,1,281,NORMAL
TXN10000082,ACC762698,2026-04-06 13:48:00,816.54,purchase,Lazada,atm,TH,13,2360,1,181,NORMAL
TXN10000083,ACC753536,2026-04-21 13:23:00,487.79,purchase,Shopee,mobile,TH,13,663,6,20,NORMAL
TXN10000084,ACC950719,2026-04-06 12:43:00,485.69,purchase,Central,mobile,TH,12,1379,6,77,NORMAL
TXN10000085,ACC770102,2026-04-24 18:30:00,150.5,purchase,Grab,mobile,TH,18,1039,5,1072,NORMAL
TXN10000086,ACC527608,2026-04-29 14:31:00,790.43,purchase,Makro,mobile,MY,14,772,7,155,NORMAL
