"TransactionID","isFraud","TransactionDT","TransactionAmt","ProductCD","card1","card2","card3","card4","card5","card6","addr1","addr2","P_emaildomain","R_emaildomain","C1","C2","C3","C4","C5","D1","D2","D3","D4","D15"
2987020,0,86761,39,"W",7875,314,150,"mastercard",224,"debit",299,87,"gmail.com",,1,1,0,0,0,0,,,0,0
2987026,0,86945,184,"W",17868,148,150,"visa",226,"debit",472,87,"me.com",,2,1,0,0,0,0,,,244,244
2987060,0,87581,2454,"W",2213,556,150,"mastercard",224,"debit",184,87,"hotmail.com",,1,1,0,0,1,0,,,0,0
2987082,0,87899,280,"W",15066,170,150,"mastercard",102,"credit",325,87,"optonline.net",,2,2,0,0,0,78,78,3,77,77
2987085,0,87935,42.596,"C",15885,545,185,"visa",138,"debit",,,"anonymous.com","anonymous.com",1,1,0,1,0,0,,,0,0
2987094,0,88107,527,"W",5409,170,150,"visa",226,"credit",315,87,"yahoo.com",,2,1,0,0,0,0,,,5,5
2987104,0,88208,100,"H",16659,170,150,"visa",226,"credit",330,87,"comcast.net",,1,1,0,0,0,0,,,,
2987109,0,88346,107.95,"W",2704,111,150,"mastercard",117,"debit",299,87,"gmail.com",,1,1,0,0,2,41,41,40,40,40
2987112,0,88394,210.95,"W",15497,490,150,"visa",226,"debit",299,87,"yahoo.com",,202,153,0,0,118,250,250,40,249,249
2987132,0,88638,757.07,"W",8684,117,150,"visa",226,"debit",315,87,"gmail.com",,1,1,0,0,1,0,,,0,0
2987156,0,88965,50,"R",3334,583,150,"visa",226,"credit",126,87,"comcast.net","comcast.net",1,1,0,1,0,0,,,,
2987177,0,89341,306.47,"W",16132,111,150,"visa",226,"debit",299,87,"yahoo.com",,1,1,0,0,1,0,,,0,0
2987202,0,89719,47.95,"W",5254,414,143,"visa",226,"debit",330,87,"gmail.com",,3,2,0,0,1,0,,,45,45
2987239,0,90178,171,"W",10616,583,150,"visa",226,"credit",204,87,"gmail.com",,1,1,0,0,0,0,,,0,0
2987244,0,90294,15,"W",9175,111,150,"visa",226,"debit",126,87,"gmail.com",,2,1,0,0,1,172,172,27,242,242
2987272,0,90652,25,"W",11204,298,150,"visa",226,"debit",272,87,"gmail.com",,1,1,0,0,0,48,48,6,48,48
2987327,0,91614,125,"H",16659,170,150,"visa",226,"credit",264,87,"gmail.com",,1,1,0,0,0,0,,,,
2987341,0,91927,648.95,"W",2803,100,150,"visa",226,"debit",272,87,"gmail.com",,1,1,0,0,1,0,,,0,0
2987372,0,92463,70,"W",7585,553,150,"visa",226,"credit",330,87,"aol.com",,2,2,0,0,0,129,129,5,389,332
2987373,0,92485,36.95,"W",7005,111,150,"visa",226,"debit",310,87,"yahoo.com",,1,1,0,0,2,15,15,6,6,14
2987376,0,92509,30,"H",5097,555,150,"visa",162,"credit",272,87,"gmail.com","gmail.com",1,1,0,1,0,0,,,,
2987434,0,93677,50,"H",4097,321,150,"visa",226,"debit",264,87,"hotmail.com",,2,1,0,0,0,0,,,,
2987454,0,94026,59,"W",11157,215,150,"visa",226,"debit",204,87,"hotmail.com",,2,1,0,0,0,0,,,0,143
2987460,0,94079,88,"W",14858,558,150,"visa",226,"debit",272,87,"yahoo.com",,2,1,0,0,0,484,484,332,483,483
2987490,0,94716,100,"H",6019,583,150,"visa",226,"credit",264,87,"yahoo.com",,1,1,0,0,0,0,,,,
2987553,0,96093,42.596,"C",12734,545,185,"visa",226,"credit",,,"gmail.com","gmail.com",1,1,0,1,0,0,,,0,0
2987558,0,96261,100,"R",9808,392,150,"mastercard",117,"debit",327,87,"gmail.com","anonymous.com",1,1,0,1,0,0,,,,
2987606,0,97142,49,"W",10686,225,150,"mastercard",117,"debit",264,87,"gmail.com",,2,1,0,0,0,0,,,0,0
2987609,0,97224,49,"W",2803,100,150,"visa",226,"debit",315,87,"gmail.com",,3,2,0,0,0,0,,,260,260
2987632,0,97883,129.95,"W",9680,111,150,"visa",226,"debit",436,87,,,111,111,0,0,134,350,350,8,,472
2987637,0,98066,70.51,"C",9026,545,185,"visa",137,"credit",,,"hotmail.com","hotmail.com",2,2,0,1,0,0,,,0,143
2987650,0,98360,25,"W",2646,449,150,"visa",166,"debit",143,87,,,5,6,0,0,1,234,234,4,,402
